resettable_device_id_or_app_instance_id,predicted_45,act_date
06CD8BFC-5C21-47DA-A032-4FA9EB3ECE0F,0.7343742,2021-05-13
06EC97FB-ABC3-44E6-B2C2-0D4A80347290,0.7343742,2021-08-05
072251F9-0A1B-498C-96C2-DDABECB7CC37,1.0200566,2021-06-08
0751DFF2-613C-44EC-B3AB-E75368A2E302,3.8822773,2021-08-17
0782DBD8-4611-413D-B6D6-85C780CF9C37,1.4773767,2021-07-25
08243E2C-C79C-4512-8017-E9ABF0A99F02,3.8822773,2021-07-10
08746065-BA2F-43F6-9432-B26D7A048254,2.3337407,2021-06-17
087E7A84-861B-4034-B671-A177B23C47A5,2.3337407,2021-06-12
08BD1B81-B0C3-4D1C-AF00-9ACB678350C1,3.8822773,2021-05-28
08DE99A1-B249-48A1-B30C-068939893214,1.4773767,2021-05-25
091B7835-BC4F-47F0-BF7F-67D0AF71F8C5,0.7343742,2021-07-15
09822B4A-3863-4A12-9A6C-FE44C4F6A824,1.4773767,2021-06-15
09B55A39-0E27-4A0C-BB11-890D6F6B4E90,2.3337407,2021-07-21
09D1B9E1-E905-4F41-A25E-5E5D24212579,0.7343742,2021-07-13
0A17D322-B774-4728-92FB-8500F95F10D7,1.4773767,2021-07-01
0A2E60CD-3D3B-47B1-96B4-CB6EC5BC21B9,1.4773767,2021-07-22
0A6B1676-B676-4036-AF55-F0DC3C355AEA,2.3337407,2021-07-10
0A833399-221C-4BD3-9008-4DAF8169183A,1.4773767,2021-07-31
0AB85CEF-6700-4FA7-B733-25DEAE00E8A3,1.4773767,2021-06-21
0AE67644-8EEA-43C0-804C-D061B5B30C89,1.4773767,2021-07-04
0AF12F58-4E85-4F68-B8D2-AF64E26035FF,1.4773767,2021-05-22
0B10C5E1-D117-45AC-A7E5-E0BF140476B3,0.7343742,2021-06-29
0B70534A-2C59-4C4F-A1D3-D48EB566D741,2.8727129,2021-06-12
0B74BE15-C2D1-45C8-99D8-2243AF0B8E23,1.4773767,2021-08-06
0BF05A8E-2460-4326-87B3-942C7340161D,1.4773767,2021-07-27
0BF35A50-AA4B-47FB-A2E6-74A5A3851400,2.3337407,2021-08-17
0C0E387B-8D5D-4002-98A2-3E3A1F53ED66,0.7343742,2021-08-17
0C2402B9-4C8B-4983-9C24-06072FAA6797,0.7343742,2021-07-03
0C378673-4348-4788-9A14-7D241C83DD5A,0.7343742,2021-07-10
0C38237C-2380-4B6F-B3DE-EAFF99BEDE95,1.4773767,2021-06-03
0C81B6AB-B11F-4DFF-B193-343FE4936E23,2.3337407,2021-05-12
0C86761A-EE8E-4732-8EFD-63031462B127,2.3337407,2021-05-19
0C8A4EB1-14D1-4C1F-9810-402366EDD370,1.4773767,2021-08-12
0C9D7874-9FAF-42C8-B074-71EBB2800EAF,12.914875,2021-08-18
0CB78937-29F7-42E0-BCB2-443E5E0D5615,0.7343742,2021-08-17
0D101430-CC34-45CA-B4F3-4922D6A4A815,0.7343742,2021-07-21
0D23DA39-C70E-4DE3-A517-FC0C096BEBA8,0.7343742,2021-07-15
0D613309-5EA1-423F-912B-9DB78463CE90,1.0200566,2021-05-31
0DF2A723-46F9-44BF-8033-7B5DB79975D1,3.8822773,2021-07-11
0E26AA22-8C96-4BFF-8FDD-40FD973B9B4F,2.8727129,2021-05-12
0E44A706-283B-4D66-9919-9A896BCE0BB7,0.7343742,2021-06-22
0E44A9BE-3A8D-4684-8806-C4B1DC8D37C7,0.7343742,2021-08-13
0E54101E-F324-4ECC-8F8C-8DFDDB9853FE,1.4773767,2021-05-14
0E9CB974-B696-435E-A2A6-2F0099FE89F4,0.7343742,2021-07-30
0ED54730-F0F6-4937-9A1B-8625F2AE4A5B,2.8727129,2021-05-20
0EFB80D3-8200-441C-AB8B-0DC5381F2CF8,0.7343742,2021-05-15
0F02DA42-CC4A-409C-995D-25473CE256F1,3.8822773,2021-08-07
0F9666E7-1C9F-4DA7-A90C-B4E4F50BD72F,1.4773767,2021-07-22
10365490-20B5-47C1-AADD-075C322851D3,0.7343742,2021-07-08
104C0049-13E6-4F2C-A46C-42DDAE9BF383,1.4773767,2021-06-08
104FC982-4A98-460B-9CC1-A903672AA2F0,2.3337407,2021-06-21
108AB259-6DF5-42DC-BA5F-734BF9612E4A,0.7343742,2021-07-25
109600AC-6021-455D-A193-FA912B5C92F2,0.7343742,2021-08-17
10FEE539-A8DA-496C-AA41-024CDA7AD8D4,3.8822773,2021-08-18
1162B983-D089-4151-8683-D6E5D0A70492,2.8727129,2021-08-18
11B555E9-B5C6-4B4E-B396-85B3D1349711,1.4773767,2021-07-15
11F2A975-9F1B-4FF2-BC37-464BAF3D356E,1.4773767,2021-06-17
1245DC8E-9562-47BC-854C-964A97F581EE,2.3337407,2021-06-18
127B61EB-5279-496C-991F-098F7C22803F,0.7343742,2021-06-14
12E61E71-EF6A-450A-9085-65A724319A71,2.3337407,2021-07-24
133D0CB7-E0A1-4447-96AA-2C07D7EE46C2,0.7343742,2021-06-26
1368BAAA-D8BC-4395-9A75-84618F331AFC,2.8727129,2021-08-18
1386542B-700E-4454-8211-1126B27968A4,0.7343742,2021-08-02
13955DDB-63D9-4D74-901F-1E3F6CC43030,1.4773767,2021-07-27
13B65912-0077-4BCA-8BF7-37188768B466,1.4773767,2021-06-24
140EF13E-551C-49F4-8FF8-244CED9B1919,0.7343742,2021-07-23
145875F8-7308-4910-AB67-BE3BE46557A7,0.7343742,2021-06-18
14B2129D-E3EB-4C67-9029-066A786DB422,2.3337407,2021-07-31
14B8E93A-C8D7-45F0-ADC0-B221EE0928CD,1.4773767,2021-06-21
15239CE1-C633-4C54-8548-09E0A1B85572,0.7343742,2021-07-03
